"","year","month","all","ep","epu","ep_count","epu_count"
"456","2022",9,995519,188.728204846171,236.91283692695,1511,101
"455","2022",10,1006011,199.367120252927,299.435821328526,1613,129
"454","2022",11,960107,134.949096330478,274.837240934056,1042,113
"447","2022",12,945560,152.016468754113,301.291938284265,1156,122
"461","2023",1,972486,157.780635015343,196.900703188965,1234,82
"460","2023",2,906167,184.422083513028,219.042030150758,1344,85
"464","2023",3,1045523,201.228117985446,486.899888551872,1692,218
"457","2023",4,979176,241.149353725518,527.045714225652,1899,221
"465","2023",5,1016901,227.678960575335,383.49046424091,1862,167
"463","2023",6,973474,193.385281207583,235.081520832073,1514,98
"462","2023",7,928915,170.000282436726,238.816540066942,1270,95
"458","2023",8,1008435,179.899219557692,379.763053129698,1459,164
"468","2023",9,1017763,122.661692334767,390.048880408547,1004,170
"467","2023",10,1050128,105.264376011113,220.145457609499,889,99
"466","2023",11,1004270,119.728593983879,232.523195760716,967,100
"459","2023",12,950994,163.438411990974,483.732449961861,1250,197
"473","2024",1,960438,122.99180308509,209.096079115662,950,86
"472","2024",2,939576,170.585809330103,347.946837434396,1289,140
"476","2024",3,965448,188.682071360333,244.292007963847,1465,101
"469","2024",4,901201,168.743358996283,215.066714239653,1223,83
"477","2024",5,918542,152.562148028426,203.37976471984,1127,80
"475","2024",6,825172,176.605826112075,175.454285021911,1172,62
"474","2024",7,863187,137.712987252436,194.780007415267,956,72
"470","2024",8,1107744,104.616070593339,120.15787022071,932,57
"480","2024",9,1112344,98.2588453377864,109.164391860287,879,52
"479","2024",10,1194843,139.136944381297,293.154920529242,1337,150
"478","2024",11,1126875,216.824677182357,528.422387582355,1965,255
"471","2024",12,1099321,154.167641824525,282.516546889213,1363,133
"483","2025",1,1124917,247.709848884189,487.825114248912,2241,235
"482","2025",2,985609,226.202565818364,824.501321443916,1793,348
"484","2025",3,1070285,237.350868720257,811.63407847499,2043,372
"481","2025",4,738594,244.109187240373,717.689933117537,1450,227
"485","2025",5,94,0,0,0,0
