"","year","month","all","ep","epu","ep_count","epu_count"
"104","1993",3,362339,265.612052050393,186.895863387375,774,29
"97","1993",4,350192,253.165899301662,200.046891253896,713,30
"105","1993",5,358702,471.093982026377,729.123334086255,1359,112
"103","1993",6,335766,435.874682193089,271.234333507799,1177,39
"102","1993",7,340536,260.7096335412,260.577755439993,714,38
"98","1993",8,346128,159.861975643601,155.170041301256,445,23
"108","1993",9,351791,97.9077211660461,66.3792052117917,277,10
"107","1993",10,373817,83.4904057170415,74.9616212660037,251,12
"106","1993",11,355635,96.8494527724339,98.4925850127015,277,15
"99","1993",12,357915,95.8850899721615,78.2921318659282,276,12
"113","1994",1,361264,96.3729699464647,77.5663458766821,280,12
"112","1994",2,345830,88.0897378419951,67.5233698078866,245,10
"116","1994",3,391389,81.9658577765235,35.7980530582026,258,6
"109","1994",4,375693,86.3832027408305,149.174609996959,261,24
"117","1994",5,388779,87.6334001031678,108.115131128972,274,18
"115","1994",6,376257,85.5927684232695,49.6503336403818,259,8
"114","1994",7,368114,89.5128607568967,50.7486419547453,265,8
"110","1994",8,375548,72.1793452122273,93.2701291738795,218,15
"120","1994",9,385267,84.5592997756081,84.8560862283195,262,14
"119","1994",10,403307,101.125336934347,69.480391802755,328,12
"118","1994",11,386546,96.8249340591937,72.4931272779791,301,12
"111","1994",12,377451,105.417156103107,111.359865426746,320,18
"125","1995",1,395071,101.030331630548,94.5717887900105,321,16
"124","1995",2,377102,106.833651440797,198.156314042664,324,32
"128","1995",3,432866,127.828718138103,145.655558181483,445,27
"121","1995",4,409539,120.2324835925,96.9327264732404,396,17
"129","1995",5,420575,115.007998532058,116.598406133006,389,21
"127","1995",6,412251,124.870692772314,84.9662231771229,414,15
"126","1995",7,397739,110.044003950081,58.7108807048376,352,10
"122","1995",8,413411,75.7949743796504,39.5396467110526,252,7
"132","1995",9,416539,77.6139123298719,78.4854473961045,260,14
"131","1995",10,443817,64.438556089158,68.4000141383945,230,13
"130","1995",11,429080,82.3004037757365,97.9605028553895,284,18
"123","1995",12,412187,84.4667216936478,118.97118215613,280,21
"137","1996",1,432727,86.2043454684055,151.098728634571,300,28
"136","1996",2,424139,67.7213597597961,82.5847433765631,231,15
"140","1996",3,463145,81.079649181538,45.3776814660533,302,9
"133","1996",4,443623,73.9966008645312,89.4852878843622,264,17
"141","1996",5,465925,77.1265183211564,65.1544542037019,289,13
"139","1996",6,435404,54.5459927644807,75.0848631912568,191,14
